nama provinsi,kode provinsi,nama kabupaten,kode kabupaten,nama kecamatan,kode kecamatan
GORONTALO,75,BOALEMO,7502,BOTUMOITO,750206
GORONTALO,75,BOALEMO,7502,DULUPI,750203
GORONTALO,75,BOALEMO,7502,MANANGGU,750205
GORONTALO,75,BOALEMO,7502,PAGUYAMAN,750201
GORONTALO,75,BOALEMO,7502,PAGUYAMAN PANTAI,750207
GORONTALO,75,BOALEMO,7502,TILAMUTA,750204
GORONTALO,75,BOALEMO,7502,WONOSARI,750202
GORONTALO,75,BONE BOLANGO,7503,BONE,750309
GORONTALO,75,BONE BOLANGO,7503,BONE RAYA,750310
GORONTALO,75,BONE BOLANGO,7503,BONEPANTAI,750304
GORONTALO,75,BONE BOLANGO,7503,BOTUPINGGE,750307
GORONTALO,75,BONE BOLANGO,7503,BULANGO SELATAN,750315
GORONTALO,75,BONE BOLANGO,7503,BULANGO TIMUR,750316
GORONTALO,75,BONE BOLANGO,7503,BULANGO ULU,750314
GORONTALO,75,BONE BOLANGO,7503,BULANGO UTARA,750305
GORONTALO,75,BONE BOLANGO,7503,BULAWA,750317
GORONTALO,75,BONE BOLANGO,7503,KABILA,750302
GORONTALO,75,BONE BOLANGO,7503,KABILA BONE,750308
GORONTALO,75,BONE BOLANGO,7503,PINOGU,750318
GORONTALO,75,BONE BOLANGO,7503,SUWAWA,750303
GORONTALO,75,BONE BOLANGO,7503,SUWAWA SELATAN,750312
GORONTALO,75,BONE BOLANGO,7503,SUWAWA TENGAH,750313
GORONTALO,75,BONE BOLANGO,7503,SUWAWA TIMUR,750311
GORONTALO,75,BONE BOLANGO,7503,TAPA,750301
GORONTALO,75,BONE BOLANGO,7503,TILONGKABILA,750306
GORONTALO,75,GORONTALO,7501,ASPARAGA,750121
GORONTALO,75,GORONTALO,7501,BATUDAA,750103
GORONTALO,75,GORONTALO,7501,BATUDAA PANTAI,750105
GORONTALO,75,GORONTALO,7501,BILATO,750123
GORONTALO,75,GORONTALO,7501,BILUHU,750120
GORONTALO,75,GORONTALO,7501,BOLIYOHUTO,750109
GORONTALO,75,GORONTALO,7501,BONGOMEME,750111
GORONTALO,75,GORONTALO,7501,DUNGALIYO,750124
GORONTALO,75,GORONTALO,7501,LIMBOTO,750101
GORONTALO,75,GORONTALO,7501,LIMBOTO BARAT,750117
GORONTALO,75,GORONTALO,7501,MOOTILANGO,750114
GORONTALO,75,GORONTALO,7501,PULUBALA,750116
GORONTALO,75,GORONTALO,7501,TABONGO,750119
GORONTALO,75,GORONTALO,7501,TALAGA JAYA,750122
GORONTALO,75,GORONTALO,7501,TELAGA,750102
GORONTALO,75,GORONTALO,7501,TELAGA BIRU,750110
GORONTALO,75,GORONTALO,7501,TIBAWA,750104
GORONTALO,75,GORONTALO,7501,TILANGO,750118
GORONTALO,75,GORONTALO,7501,TOLANGOHULA,750113
GORONTALO,75,GORONTALO UTARA,7505,ANGGREK,750503
GORONTALO,75,GORONTALO UTARA,7505,ATINGGOLA,750501
GORONTALO,75,GORONTALO UTARA,7505,BIAU,750510
GORONTALO,75,GORONTALO UTARA,7505,GENTUMA RAYA,750506
GORONTALO,75,GORONTALO UTARA,7505,KWANDANG,750502
GORONTALO,75,GORONTALO UTARA,7505,MONANO,750509
GORONTALO,75,GORONTALO UTARA,7505,PONELO KEPULAUAN,750508
GORONTALO,75,GORONTALO UTARA,7505,SUMALATA,750504
GORONTALO,75,GORONTALO UTARA,7505,SUMALATA TIMUR,750511
GORONTALO,75,GORONTALO UTARA,7505,TOLINGGULA,750505
GORONTALO,75,GORONTALO UTARA,7505,TOMILITO,750507
GORONTALO,75,KOTA GORONTALO,7571,DUMBO RAYA,757108
GORONTALO,75,KOTA GORONTALO,7571,DUNGINGI,757104
GORONTALO,75,KOTA GORONTALO,7571,HULONTHALANGI,757109
GORONTALO,75,KOTA GORONTALO,7571,KOTA BARAT,757101
GORONTALO,75,KOTA GORONTALO,7571,KOTA SELATAN,757102
GORONTALO,75,KOTA GORONTALO,7571,KOTA TENGAH,757106
GORONTALO,75,KOTA GORONTALO,7571,KOTA TIMUR,757105
GORONTALO,75,KOTA GORONTALO,7571,KOTA UTARA,757103
GORONTALO,75,KOTA GORONTALO,7571,SIPATANA,757107
GORONTALO,75,POHUWATO,7504,BUNTULIA,750409
GORONTALO,75,POHUWATO,7504,DENGILO,750408
GORONTALO,75,POHUWATO,7504,DUHIADAA,750410
GORONTALO,75,POHUWATO,7504,LEMITO,750402
GORONTALO,75,POHUWATO,7504,MARISA,750404
GORONTALO,75,POHUWATO,7504,PAGUAT,750405
GORONTALO,75,POHUWATO,7504,PATILANGGIO,750406
GORONTALO,75,POHUWATO,7504,POPAYATO,750401
GORONTALO,75,POHUWATO,7504,POPAYATO BARAT,750413
GORONTALO,75,POHUWATO,7504,POPAYATO TIMUR,750412
GORONTALO,75,POHUWATO,7504,RANDANGAN,750403
GORONTALO,75,POHUWATO,7504,TALUDITI,750407
GORONTALO,75,POHUWATO,7504,WANGGARASI,750411
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,BAMBANGLIPURO,340205
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,BANGUNTAPAN,340212
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,BANTUL,340208
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,DLINGO,340211
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,IMOGIRI,340210
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,JETIS,340209
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,KASIHAN,340216
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,KRETEK,340203
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,PAJANGAN,340207
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,PANDAK,340206
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,PIYUNGAN,340214
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,PLERET,340213
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,PUNDONG,340204
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,SANDEN,340202
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,SEDAYU,340217
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,SEWON,340215
DAERAH ISTIMEWA YOGYAKARTA,34,BANTUL,3402,SRANDAKAN,340201
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,GEDANGSARI,340314
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,GIRISUBO,340316
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,KARANGMOJO,340309
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,NGAWEN,340313
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,NGLIPAR,340302
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,PALIYAN,340305
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,PANGGANG,340306
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,PATUK,340304
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,PLAYEN,340303
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,PONJONG,340310
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,PURWOSARI,340318
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,RONGKOP,340311
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,SAPTOSARI,340315
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,SEMANU,340308
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,SEMIN,340312
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,TANJUNGSARI,340317
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,TEPUS,340307
DAERAH ISTIMEWA YOGYAKARTA,34,GUNUNGKIDUL,3403,WONOSARI,340301
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,DANUREJAN,347104
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,GEDONGTENGEN,347105
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,GONDOKUSUMAN,347103
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,GONDOMANAN,347110
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,JETIS,347102
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,KOTAGEDE,347114
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,KRATON,347109
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,MANTRIJERON,347108
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,MERGANGSAN,347112
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,NGAMPILAN,347106
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,PAKUALAMAN,347111
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,TEGALREJO,347101
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,UMBULHARJO,347113
DAERAH ISTIMEWA YOGYAKARTA,34,KOTA YOGYAKARTA,3471,WIROBRAJAN,347107
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,GALUR,340104
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,GIRIMULYO,340109
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,KALIBAWANG,340112
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,KOKAP,340108
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,LENDAH,340105
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,NANGGULAN,340110
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,PANJATAN,340103
DAERAH ISTIMEWA YOGYAKARTA,34,KULON PROGO,3401,PENGASIH,340107
