id,user_id,product_id,gross_amount,discounts,transaction_date
TRX554752,SC9106192006001,2,21200.0,,2024-07-30
TRX554753,SC9106192006001,2,9700.0,,2024-11-04
TRX554754,SC9106192006001,2,15800.0,,2024-05-01
TRX554755,SC9106192006001,2,13300.0,,2024-08-14
TRX554756,SC9106192006001,3,36100.0,,2024-11-25
TRX554757,SC9106192006001,3,60700.0,,2024-01-10
TRX554758,SC9106192006001,3,39500.0,,2024-11-15
TRX554759,SC9106192006001,3,13700.000000000002,,2024-09-30
TRX554760,SC9106192006001,4,8200.0,,2024-08-04
TRX554761,SC9106192006001,4,6500.0,,2024-05-22
TRX554762,SC9106192006001,4,25299.999999999996,,2024-08-02
TRX554763,SC9106192006001,5,6899.999999999999,,2024-03-13
TRX554764,SC9106192006001,5,8000.0,,2024-05-15
TRX554765,SC9106192006001,5,15100.0,,2024-12-01
TRX554766,SC9106192006001,10,900.0,,2024-07-04
TRX554767,SC9106192006001,10,3700.0,,2024-09-07
TRX554768,SC9106192006001,10,2600.0,,2024-02-13
TRX554769,SC9106192006001,10,2800.0000000000005,,2024-08-03
TRX554770,SC9106192006001,13,1700.0000000000002,,2024-08-01
TRX554771,SC9106192006001,13,4100.0,,2024-07-13
TRX554772,SC9106192006001,13,2200.0,,2024-09-23
TRX554773,SC9106192006001,13,2000.0,,2024-01-16
TRX554774,SC9106192006001,15,153400.0,,2024-03-23
TRX554775,SC9106192006001,15,86600.0,86600.0,2024-03-04
TRX554776,SC9106192006001,16,10100.0,,2024-01-07
TRX554777,SC9106192006001,16,46200.0,,2024-08-16
TRX554778,SC9106192006001,16,2300.0,,2024-01-05
TRX554779,SC9106192006001,16,11399.999999999996,,2024-06-17
TRX554780,SC9106012011001,2,276700.0,,2024-06-01
TRX554781,SC9106012011001,2,23300.0,,2024-09-27
TRX554782,SC9106012011001,3,251700.00000000003,,2024-08-09
TRX554783,SC9106012011001,3,508300.0,10000.0,2024-12-10
TRX554784,SC9106012011001,4,61500.0,,2024-03-21
